# Great Lakes Migrant Waterfowl Survey (ECCC / Canadian Wildlife Service).
# Source: https://open.canada.ca/data/en/dataset/b188cade-c51a-406a-ac43-8103622cc389
# Aerial shoreline/nearshore counts, Ontario. Ducks only, TEAL EXCLUDED to match
# the rest of the anchor cloud; geese, swans, coot, cormorants and the SURV
# survey-placeholder rows are dropped.
# Sectors are grouped into clusters by coordinate box; lat/lng is the cluster
# centroid from the GLMWS_Sectors geodatabase layer (EPSG:4269).
# 'sectors' = how many sectors were flown that date (survey effort).
cluster,flyway,latitude,longitude,survey_date,sectors,ducks_teal_excluded
Lake St. Clair ON,Mississippi,42.428,-82.459,1989-10-04,3,27331
Lake St. Clair ON,Mississippi,42.428,-82.459,1990-10-23,3,35665
Lake St. Clair ON,Mississippi,42.428,-82.459,1990-11-09,3,52742
Lake St. Clair ON,Mississippi,42.428,-82.459,1990-11-23,3,48940
Lake St. Clair ON,Mississippi,42.428,-82.459,1990-12-17,3,35197
Lake St. Clair ON,Mississippi,42.428,-82.459,2002-09-20,3,31140
Lake St. Clair ON,Mississippi,42.428,-82.459,2002-10-06,3,46158
Lake St. Clair ON,Mississippi,42.428,-82.459,2002-10-24,3,97441
Lake St. Clair ON,Mississippi,42.428,-82.459,2002-11-12,3,127484
Lake St. Clair ON,Mississippi,42.428,-82.459,2002-11-27,3,70569
Lake St. Clair ON,Mississippi,42.428,-82.459,2002-12-16,3,27237
Lake St. Clair ON,Mississippi,42.428,-82.459,2004-01-08,3,102405
Lake St. Clair ON,Mississippi,42.428,-82.459,2011-09-07,3,10233
Lake St. Clair ON,Mississippi,42.428,-82.459,2011-09-22,3,7407
Lake St. Clair ON,Mississippi,42.428,-82.459,2011-10-05,3,26630
Lake St. Clair ON,Mississippi,42.428,-82.459,2011-10-20,3,30214
Lake St. Clair ON,Mississippi,42.428,-82.459,2011-11-02,3,43368
Lake St. Clair ON,Mississippi,42.428,-82.459,2011-11-16,3,43029
Lake St. Clair ON,Mississippi,42.428,-82.459,2011-12-01,2,39100
Lake St. Clair ON,Mississippi,42.428,-82.459,2011-12-16,2,24583
Bay of Quinte ON,Atlantic,43.999,-77.25,1970-09-15,1,0
Bay of Quinte ON,Atlantic,43.999,-77.25,1970-09-23,11,6735
Bay of Quinte ON,Atlantic,43.999,-77.25,1970-10-01,12,8754
Bay of Quinte ON,Atlantic,43.999,-77.25,1970-10-15,12,20202
Bay of Quinte ON,Atlantic,43.999,-77.25,1970-10-27,12,30010
Bay of Quinte ON,Atlantic,43.999,-77.25,1970-11-04,12,82740
Bay of Quinte ON,Atlantic,43.999,-77.25,1970-11-09,12,67210
Bay of Quinte ON,Atlantic,43.999,-77.25,1970-12-21,12,4416
Bay of Quinte ON,Atlantic,43.999,-77.25,1971-10-22,12,52223
Bay of Quinte ON,Atlantic,43.999,-77.25,1971-12-01,12,5851
Bay of Quinte ON,Atlantic,43.999,-77.25,1971-12-22,12,5321
Bay of Quinte ON,Atlantic,43.999,-77.25,1976-09-29,12,18208
Bay of Quinte ON,Atlantic,43.999,-77.25,1976-11-06,7,29482
Bay of Quinte ON,Atlantic,43.999,-77.25,1976-12-03,8,2856
Bay of Quinte ON,Atlantic,43.999,-77.25,1977-01-20,12,3192
Bay of Quinte ON,Atlantic,43.999,-77.25,1977-09-22,4,6301
Bay of Quinte ON,Atlantic,43.999,-77.25,1977-10-19,4,32367
Bay of Quinte ON,Atlantic,43.999,-77.25,1977-11-15,5,11630
